Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Variant Origin Country,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K5T74YRSAJ4B1QJJQ8AVG6FA,beatiful-ai,Beautiful AI,,"MÙt bài thuy¿t trình hiÇu qu£ không chÉ giúp truyÁn ¡t thông tin rõ ràng mà còn góp ph§n thuy¿t phåc và t¡o ¥n t°ãng vÛi ng°Ýi nghe. Thñc t¿, viÇc xây dñng slide chuyên nghiÇp th°Ýng òi hÏi nhiÁu thÝi gian và kù nng thi¿t k¿, iÁu mà không ph£i ai cing có. Beautiful AI  °ãc phát triÃn Ã mang ¿n gi£i pháp ¡n gi£n và tÑi °u h¡n.

èng dång trí tuÇ nhân t¡o (AI), nÁn t£ng này h× trã ng°Ýi dùng t¡o slide trñc quan, th©m mù và logic chÉ trong vài phút. T¡i Digitech Shop, chúng tôi cung c¥p b£n quyÁn Beautiful AI Pro vÛi méc chi phí hãp lý, giúp b¡n dÅ dàng ti¿p c­n mÙt công cå thi¿t k¿ hiÇn ¡i, phåc vå hiÇu qu£ cho công viÇc và hÍc t­p.",published,http://localhost:9000/static/1758595283673-Beautiful-ai.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T02:41:23.740Z,,,http://localhost:9000/static/1758595283673-Beautiful-ai.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:35:52.274Z,variant_01K5T74YT9EDFSK0H8JJNB1BJV,Tài kho£n riêng t° / 1 nm,,,,,,false,false,,2025-09-23T02:41:23.785Z,,,,,,Lo¡i,Tài kho£n riêng t°,ThÝi gian,1 nm,,,,122323,prod_01K5T74YRSAJ4B1QJJQ8AVG6FA,2025-09-23T02:41:23.785Z,0,,
prod_01K5TCQYX2Z6Q05W24WG4SGTA8,elementor-pro,Elementor PRO,,"B¡n ang tìm ki¿m mÙt công cå thi¿t k¿ website m¡nh m½, dÅ dùng và không c§n bi¿t code? B¡n muÑn sß hïu Elementor PRO  plugin kéo th£ ình ám trên nÁn t£ng WordPress  nh°ng ngân sách l¡i h¡n h¹p? Bài vi¿t này s½ giúp b¡n hiÃu rõ mÍi thé vÁ Elementor PRO: të tính nng, lãi ích, sñ khác biÇt vÛi b£n miÅn phí, ¿n cách mua b£n quyÁn uy tín vÛi chi phí ti¿t kiÇm nh¥t nm 2025.",published,http://localhost:9000/static/1758601149283-Elementor-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:19:09.350Z,,,http://localhost:9000/static/1758601149283-Elementor-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:19:09.350Z,variant_01K5TCQYYNSV682QZ5M43N80QP,Default variant,,,,,,false,false,,2025-09-23T04:19:09.397Z,,,,,,Default option,Default option value,,,,,,444233,prod_01K5TCQYX2Z6Q05W24WG4SGTA8,2025-09-23T04:19:09.397Z,0,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMET5ZBAARJBDNRQKAXR,100 Compute Unit / Colab Pro / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit,Gói,Colab Pro,ThÝi gian,1 nm,,100000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,0,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMETX6XQXFQRT4GAM2ZS,500 Compute Unit / Colab Pro / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,500 Compute Unit,Gói,Colab Pro,ThÝi gian,1 nm,,200000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,1,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEVN0YEBXP2JQB453R0,100 Compute Unit/ tháng / Colab Pro / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit/ tháng,Gói,Colab Pro,ThÝi gian,1 nm,,500000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,2,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEVQ80HYXBW13GCVEQ3,100 Compute Unit/ tháng / Colab Pro / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit,Gói,Pay as you go,ThÝi gian,1 nm,,100000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,3,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEWQJKB8PMDDT8Q50J4,500 Compute Unit / Pay as you go / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,500 Compute Unit,Gói,Pay as you go,ThÝi gian,1 nm,,200000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,4,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEWDV9J641KAW7MYKG5,100 Compute Unit/ tháng / Pay as you go / 1 nm,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit/ tháng,Gói,Pay as you go,ThÝi gian,1 nm,,500000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,5,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEW8ASCQ68Y9Z1GB0FR,100 Compute Unit / Colab Pro / 3 tháng,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit,Gói,Colab Pro,ThÝi gian,3 tháng,,100000,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,6,,
prod_01K5TDCMD35H3GDMC9X7XRSNXX,google-colab-pro,Google Colab Pro,,"B¡n là nhà nghiên céu AI/ML, kù s° dï liÇu, l­p trình viên ho·c sinh viên ang c§n mÙt môi tr°Ýng m¡nh m½, ti¿t kiÇm và dÅ ti¿p c­n Ã phát triÃn mô hình hÍc máy, hu¥n luyÇn AI ho·c ch¡y các dñ án deep learning? Google Colab Pro giá r»  tài kho£n chính hãng °ãc Digitech Shop phân phÑi  chính là gi£i pháp b¡n ang tìm ki¿m.",published,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,,,,,,,pcol_01K5TAD1Z2XRNFZ4ZP1HASAJEP,,true,,2025-09-23T04:30:26.727Z,,,http://localhost:9000/static/1758601826654-Google-colba-pro.png.jpg,false,,sc_01K5T3SNVVD2KJBTEXWCKZ4B14,2025-09-23T04:30:26.727Z,variant_01K5TDCMEW5SD9RJ1M7912WYRM,100 Compute Unit / Pay as you go / 3 tháng,,,,,,false,false,,2025-09-23T04:30:26.782Z,,,,,,Lo¡i,100 Compute Unit,Gói,Pay as you go,ThÝi gian,3 tháng,,22312312,prod_01K5TDCMD35H3GDMC9X7XRSNXX,2025-09-23T04:30:26.782Z,7,,
