Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01K71WMXJBX4XDRPE69N4BM6A0,beautiful-ai,Beautiful AI Giá Rẻ,published,http://localhost:9000/static/1759926449706-Beautiful-ai.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K71WRJYDBQGYGTSTG0Z6DWG5
prod_01K721HB7WPBSAHVPM60SMRKY5,bolt-ai,Bolt Al Pro 20$ Giá Rẻ,published,http://localhost:9000/static/1759931575501-Bolt-ai.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K721RJ7925F8K1RR7NCBNEGY
prod_01K721HB7WPBSAHVPM60SMRKY5,bolt-ai,Bolt Al Pro 20$ Giá Rẻ,published,http://localhost:9000/static/1759931575501-Bolt-ai.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K721PTSFA3Y4T05R6VPBYV5Q
prod_01K721HB7WPBSAHVPM60SMRKY5,bolt-ai,Bolt Al Pro 20$ Giá Rẻ,published,http://localhost:9000/static/1759931575501-Bolt-ai.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K721VQW755Y41E2ZP5X3B2VH
prod_01K7222J27C5RSTAJ2PXH66RG3,consensus-premium,"Consensus Premium Giá Rẻ, Chính Chủ",published,http://localhost:9000/static/1759932139515-Consensus-AI.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K722TFCH5JKDK430QSCK1RCQ
prod_01K722BKSA4XYAAPZY95271XFT,elementor-pro,Elementor PRO Giá Rẻ,published,http://localhost:9000/static/1759932436189-Elementor-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K722GTEWT5PEH3GTE49R7NQR
prod_01K723F1QGBQ4QWDN3W7RHPEG5,google-colab-pro,Google Colab Pro Giá Rẻ,published,http://localhost:9000/static/1759933597351-Google-colba-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K723V165MG8NJWM7SX9EP2DB
prod_01K723F1QGBQ4QWDN3W7RHPEG5,google-colab-pro,Google Colab Pro Giá Rẻ,published,http://localhost:9000/static/1759933597351-Google-colba-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K723P7CYWG1JPGCNWAQ1N91T
prod_01K723F1QGBQ4QWDN3W7RHPEG5,google-colab-pro,Google Colab Pro Giá Rẻ,published,http://localhost:9000/static/1759933597351-Google-colba-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K723QVCNTRSP5ADQZ9TCAYW5
prod_01K7243ZXQW36TGCZ8GRWV56DX,key-smartgit,Key SmartGit Giá Rẻ,published,http://localhost:9000/static/1759934283629-Key-smartgit.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K7243ZZEX6SM4TRPZHT9MCYS
prod_01K724F9B57PPQVSG6RBAVJ31E,key-tableau-desktop,Key Tableau Desktop Giá Rẻ,published,http://localhost:9000/static/1759934653717-Key-tableau-desktop.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K724F9DPW23BGV48KKYK21CN
prod_01K724RRFJVB2HE2KYAE3KDNBE,altium-designer-pro,Mua Tài Khoản Altium Designer Pro 365 Giá Rẻ,published,http://localhost:9000/static/1759934964132-Altium-designer-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K724RRHD40PDGZM5N46JRARB
prod_01K72523TGHFM8FZVC7933XQNT,claude-pro,Mua tài khoản Claude Pro,published,http://localhost:9000/static/1759935270639-Claude-pro.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K72523WPQBCKYS8XYD6VDZXR
prod_01K725B9HSGXTK0P4PQ0F8HHBB,coreldraw,Mua Tài Khoản CorelDraw Giá Rẻ,published,http://localhost:9000/static/1759935571483-CorelDraw.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K725QPDD481031P64CAQQB14
prod_01K725B9HSGXTK0P4PQ0F8HHBB,coreldraw,Mua Tài Khoản CorelDraw Giá Rẻ,published,http://localhost:9000/static/1759935571483-CorelDraw.png,sc_01K71VRA7Q124V31XY4N1CRAWY,variant_01K725PK3FXBWJSKDG0ZDJ24S6
